,Unnamed: 0,city.cityName,city.confirmedCount,city.suspectedCount,city.curedCount,city.deadCount,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,comment
0,0,武汉,2261,0,54,129,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
1,1,黄冈,496,0,5,12,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
2,2,孝感,399,0,0,6,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
3,3,荆门,191,0,0,4,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
4,4,襄阳,163,0,0,0,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
5,5,荆州,151,0,1,3,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
6,6,随州,143,0,0,0,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
7,7,咸宁,130,0,0,0,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
8,8,鄂州,123,0,0,2,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
9,9,十堰,119,0,0,0,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
10,10,宜昌,117,0,0,1,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
11,11,黄石,113,0,0,1,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
12,12,恩施州,66,0,0,0,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
13,13,仙桃,55,0,0,0,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
14,14,天门,44,0,0,3,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
15,15,潜江,10,0,0,1,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
16,16,神农架林区,5,0,0,0,湖北省,湖北,4586,0,90,162,待明确地区：治愈 30
17,17,温州,114,0,3,0,浙江省,浙江,296,0,3,0,
18,18,杭州,51,0,0,0,浙江省,浙江,296,0,3,0,
19,19,台州,40,0,0,0,浙江省,浙江,296,0,3,0,
20,20,宁波,20,0,0,0,浙江省,浙江,296,0,3,0,
21,21,绍兴,19,0,0,0,浙江省,浙江,296,0,3,0,
22,22,嘉兴,14,0,0,0,浙江省,浙江,296,0,3,0,
23,23,金华,13,0,0,0,浙江省,浙江,296,0,3,0,
24,24,衢州,8,0,0,0,浙江省,浙江,296,0,3,0,
25,25,舟山,6,0,0,0,浙江省,浙江,296,0,3,0,
26,26,丽水,6,0,0,0,浙江省,浙江,296,0,3,0,
27,27,湖州,5,0,0,0,浙江省,浙江,296,0,3,0,
28,28,深圳,80,0,4,0,广东省,广东,277,0,5,0,
29,29,广州,63,0,0,0,广东省,广东,277,0,5,0,
30,30,佛山,21,0,0,0,广东省,广东,277,0,5,0,
31,31,珠海,18,0,0,0,广东省,广东,277,0,5,0,
32,32,中山,13,0,0,0,广东省,广东,277,0,5,0,
33,33,惠州,12,0,1,0,广东省,广东,277,0,5,0,
34,34,阳江,10,0,0,0,广东省,广东,277,0,5,0,
35,35,湛江,9,0,0,0,广东省,广东,277,0,5,0,
36,36,汕头,8,0,0,0,广东省,广东,277,0,5,0,
37,37,东莞,7,0,0,0,广东省,广东,277,0,5,0,
38,38,清远,6,0,0,0,广东省,广东,277,0,5,0,
39,39,揭阳,6,0,0,0,广东省,广东,277,0,5,0,
40,40,肇庆,5,0,0,0,广东省,广东,277,0,5,0,
41,41,外地来粤人员,5,0,0,0,广东省,广东,277,0,5,0,
42,42,韶关,4,0,0,0,广东省,广东,277,0,5,0,
43,43,梅州,4,0,0,0,广东省,广东,277,0,5,0,
44,44,茂名,3,0,0,0,广东省,广东,277,0,5,0,
45,45,汕尾,1,0,0,0,广东省,广东,277,0,5,0,
46,46,河源,1,0,0,0,广东省,广东,277,0,5,0,
47,47,江门,1,0,0,0,广东省,广东,277,0,5,0,
48,48,长沙,46,0,0,0,湖南省,湖南,221,0,0,0,
49,49,岳阳,26,0,0,0,湖南省,湖南,221,0,0,0,
50,50,常德,26,0,0,0,湖南省,湖南,221,0,0,0,
51,51,邵阳,19,0,0,0,湖南省,湖南,221,0,0,0,
52,52,怀化,18,0,0,0,湖南省,湖南,221,0,0,0,
53,53,衡阳,17,0,0,0,湖南省,湖南,221,0,0,0,
54,54,益阳,14,0,0,0,湖南省,湖南,221,0,0,0,
55,55,株洲,13,0,0,0,湖南省,湖南,221,0,0,0,
56,56,娄底,13,0,0,0,湖南省,湖南,221,0,0,0,
57,57,永州,11,0,0,0,湖南省,湖南,221,0,0,0,
58,58,湘潭,8,0,0,0,湖南省,湖南,221,0,0,0,
59,59,郴州,7,0,0,0,湖南省,湖南,221,0,0,0,
60,60,湘西自治州,3,0,0,0,湖南省,湖南,221,0,0,0,
61,61,郑州,40,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
62,62,信阳,32,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
63,63,南阳,31,0,0,1,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
64,64,周口,19,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
65,65,驻马店,16,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
66,66,安阳市,14,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
67,67,商丘,14,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
68,68,漯河市,9,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
69,69,新乡,7,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
70,70,平顶山,5,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
71,71,鹤壁,5,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
72,72,三门峡,4,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
73,73,开封,3,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
74,74,洛阳,2,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
75,75,许昌,2,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
76,76,焦作,2,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
77,77,濮阳,1,0,0,0,河南省,河南,206,0,1,2,待明确地区：死亡 1 治愈 1
78,78,万州区,24,0,0,0,重庆市,重庆,165,0,1,0,
79,79,开州区,13,0,0,0,重庆市,重庆,165,0,1,0,
80,80,云阳县,12,0,0,0,重庆市,重庆,165,0,1,0,
81,81,忠县,11,0,0,0,重庆市,重庆,165,0,1,0,
82,82,两江新区,8,0,0,0,重庆市,重庆,165,0,1,0,
83,83,渝北区,7,0,0,0,重庆市,重庆,165,0,1,0,
84,84,长寿区,7,0,0,0,重庆市,重庆,165,0,1,0,
85,85,石柱县,7,0,0,0,重庆市,重庆,165,0,1,0,
86,86,大渡口区,6,0,0,0,重庆市,重庆,165,0,1,0,
87,87,江北区,6,0,0,0,重庆市,重庆,165,0,1,0,
88,88,合川区,6,0,0,0,重庆市,重庆,165,0,1,0,
89,89,九龙坡区,5,0,0,0,重庆市,重庆,165,0,1,0,
90,90,垫江县,5,0,0,0,重庆市,重庆,165,0,1,0,
91,91,巫山县,5,0,1,0,重庆市,重庆,165,0,1,0,
92,92,巫溪县,5,0,0,0,重庆市,重庆,165,0,1,0,
93,93,綦江区,4,0,0,0,重庆市,重庆,165,0,1,0,
94,94,璧山区,4,0,0,0,重庆市,重庆,165,0,1,0,
95,95,奉节县,4,0,0,0,重庆市,重庆,165,0,1,0,
96,96,江津区,3,0,0,0,重庆市,重庆,165,0,1,0,
97,97,永川区,3,0,0,0,重庆市,重庆,165,0,1,0,
98,98,丰都县,3,0,0,0,重庆市,重庆,165,0,1,0,
99,99,大足区,2,0,0,0,重庆市,重庆,165,0,1,0,
100,100,铜梁区,2,0,0,0,重庆市,重庆,165,0,1,0,
101,101,潼南区,2,0,0,0,重庆市,重庆,165,0,1,0,
102,102,南岸区,2,0,0,0,重庆市,重庆,165,0,1,0,
103,103,渝中区,2,0,0,0,重庆市,重庆,165,0,1,0,
104,104,涪陵区,1,0,0,0,重庆市,重庆,165,0,1,0,
105,105,巴南区,1,0,0,0,重庆市,重庆,165,0,1,0,
106,106,梁平区,1,0,0,0,重庆市,重庆,165,0,1,0,
107,107,城口县,1,0,0,0,重庆市,重庆,165,0,1,0,
108,108,秀山县,1,0,0,0,重庆市,重庆,165,0,1,0,
109,109,黔江区,1,0,0,0,重庆市,重庆,165,0,1,0,
110,110,武隆区,1,0,0,0,重庆市,重庆,165,0,1,0,
111,111,南昌,46,0,0,0,江西省,江西,162,0,3,0,
112,112,九江,31,0,0,0,江西省,江西,162,0,3,0,
113,113,赣州,21,0,0,0,江西省,江西,162,0,3,0,
114,114,宜春,14,0,0,0,江西省,江西,162,0,3,0,
115,115,抚州,13,0,0,0,江西省,江西,162,0,3,0,
116,116,新余,11,0,1,0,江西省,江西,162,0,3,0,
117,117,上饶,11,0,0,0,江西省,江西,162,0,3,0,
118,118,萍乡,5,0,1,0,江西省,江西,162,0,3,0,
119,119,吉安,5,0,1,0,江西省,江西,162,0,3,0,
120,120,鹰潭,3,0,0,0,江西省,江西,162,0,3,0,
121,121,景德镇,2,0,0,0,江西省,江西,162,0,3,0,
122,122,合肥,29,0,1,0,安徽省,安徽,152,0,2,0,
123,123,阜阳,23,0,0,0,安徽省,安徽,152,0,2,0,
124,124,亳州,15,0,1,0,安徽省,安徽,152,0,2,0,
125,125,安庆,14,0,0,0,安徽省,安徽,152,0,2,0,
126,126,马鞍山,11,0,0,0,安徽省,安徽,152,0,2,0,
127,127,芜湖,11,0,0,0,安徽省,安徽,152,0,2,0,
128,128,铜陵,9,0,0,0,安徽省,安徽,152,0,2,0,
129,129,宿州,9,0,0,0,安徽省,安徽,152,0,2,0,
130,130,黄山,7,0,0,0,安徽省,安徽,152,0,2,0,
131,131,六安,6,0,0,0,安徽省,安徽,152,0,2,0,
132,132,滁州,4,0,0,0,安徽省,安徽,152,0,2,0,
133,133,宿松,4,0,0,0,安徽省,安徽,152,0,2,0,
134,134,蚌埠,3,0,0,0,安徽省,安徽,152,0,2,0,
135,135,宣城,2,0,0,0,安徽省,安徽,152,0,2,0,
136,136,淮北,2,0,0,0,安徽省,安徽,152,0,2,0,
137,137,淮南,2,0,0,0,安徽省,安徽,152,0,2,0,
138,138,池州,1,0,0,0,安徽省,安徽,152,0,2,0,
139,139,青岛,17,0,1,0,山东省,山东,130,0,1,0,
140,140,临沂,16,0,0,0,山东省,山东,130,0,1,0,
141,141,威海,12,0,0,0,山东省,山东,130,0,1,0,
142,142,烟台,12,0,0,0,山东省,山东,130,0,1,0,
143,143,济南,11,0,0,0,山东省,山东,130,0,1,0,
144,144,德州,11,0,0,0,山东省,山东,130,0,1,0,
145,145,枣庄,8,0,0,0,山东省,山东,130,0,1,0,
146,146,日照,8,0,0,0,山东省,山东,130,0,1,0,
147,147,菏泽,7,0,0,0,山东省,山东,130,0,1,0,
148,148,滨州,7,0,0,0,山东省,山东,130,0,1,0,
149,149,潍坊,5,0,0,0,山东省,山东,130,0,1,0,
150,150,济宁,5,0,0,0,山东省,山东,130,0,1,0,
151,151,淄博,4,0,0,0,山东省,山东,130,0,1,0,
152,152,聊城,4,0,0,0,山东省,山东,130,0,1,0,
153,153,泰安,3,0,0,0,山东省,山东,130,0,1,0,
154,154,海淀,24,0,0,0,北京市,北京,111,0,4,1,待明确地区：死亡 1
155,155,朝阳,21,0,0,0,北京市,北京,111,0,4,1,待明确地区：死亡 1
156,156,西城,12,0,0,0,北京市,北京,111,0,4,1,待明确地区：死亡 1
157,157,外地来京人员,11,0,2,0,北京市,北京,111,0,4,1,待明确地区：死亡 1
158,158,丰台,10,0,0,0,北京市,北京,111,0,4,1,待明确地区：死亡 1
159,159,大兴,10,0,2,0,北京市,北京,111,0,4,1,待明确地区：死亡 1
160,160,昌平,8,0,0,0,北京市,北京,111,0,4,1,待明确地区：死亡 1
161,161,通州,8,0,0,0,北京市,北京,111,0,4,1,待明确地区：死亡 1
162,162,石景山,2,0,0,0,北京市,北京,111,0,4,1,待明确地区：死亡 1
163,163,顺义,2,0,0,0,北京市,北京,111,0,4,1,待明确地区：死亡 1
164,164,东城,2,0,0,0,北京市,北京,111,0,4,1,待明确地区：死亡 1
165,165,门头沟,1,0,0,0,北京市,北京,111,0,4,1,待明确地区：死亡 1
166,166,成都,46,0,1,1,四川省,四川,108,0,1,1,
167,167,绵阳,8,0,0,0,四川省,四川,108,0,1,1,
168,168,广安,7,0,0,0,四川省,四川,108,0,1,1,
169,169,自贡,7,0,0,0,四川省,四川,108,0,1,1,
170,170,泸州,5,0,0,0,四川省,四川,108,0,1,1,
171,171,南充,5,0,0,0,四川省,四川,108,0,1,1,
172,172,达州,4,0,0,0,四川省,四川,108,0,1,1,
173,173,内江,4,0,0,0,四川省,四川,108,0,1,1,
174,174,遂宁,3,0,0,0,四川省,四川,108,0,1,1,
175,175,甘孜州,3,0,0,0,四川省,四川,108,0,1,1,
176,176,德阳,2,0,0,0,四川省,四川,108,0,1,1,
177,177,雅安,2,0,0,0,四川省,四川,108,0,1,1,
178,178,乐山,2,0,0,0,四川省,四川,108,0,1,1,
179,179,宜宾,2,0,0,0,四川省,四川,108,0,1,1,
180,180,凉山,2,0,0,0,四川省,四川,108,0,1,1,
181,181,资阳,2,0,0,0,四川省,四川,108,0,1,1,
182,182,巴中,2,0,0,0,四川省,四川,108,0,1,1,
183,183,眉山,1,0,0,0,四川省,四川,108,0,1,1,
184,184,广元,1,0,0,0,四川省,四川,108,0,1,1,
185,185,外地来沪人员,48,0,5,1,上海市,上海,101,0,11,1,
186,186,浦东,13,0,0,0,上海市,上海,101,0,11,1,
187,187,静安,8,0,1,0,上海市,上海,101,0,11,1,
188,188,长宁,5,0,5,0,上海市,上海,101,0,11,1,
189,189,徐汇,5,0,0,0,上海市,上海,101,0,11,1,
190,190,奉贤,5,0,0,0,上海市,上海,101,0,11,1,
191,191,黄浦,4,0,0,0,上海市,上海,101,0,11,1,
192,192,闵行,3,0,0,0,上海市,上海,101,0,11,1,
193,193,虹口,2,0,0,0,上海市,上海,101,0,11,1,
194,194,青浦,2,0,0,0,上海市,上海,101,0,11,1,
195,195,宝山,2,0,0,0,上海市,上海,101,0,11,1,
196,196,嘉定,2,0,0,0,上海市,上海,101,0,11,1,
197,197,松江,1,0,0,0,上海市,上海,101,0,11,1,
198,198,金山,1,0,0,0,上海市,上海,101,0,11,1,
199,199,苏州,20,0,1,0,江苏省,江苏,99,0,1,0,
200,200,南京,14,0,0,0,江苏省,江苏,99,0,1,0,
201,201,无锡,9,0,0,0,江苏省,江苏,99,0,1,0,
202,202,扬州,8,0,0,0,江苏省,江苏,99,0,1,0,
203,203,常州,8,0,0,0,江苏省,江苏,99,0,1,0,
204,204,泰州,8,0,0,0,江苏省,江苏,99,0,1,0,
205,205,徐州,8,0,0,0,江苏省,江苏,99,0,1,0,
206,206,南通,6,0,0,0,江苏省,江苏,99,0,1,0,
207,207,盐城,6,0,0,0,江苏省,江苏,99,0,1,0,
208,208,宿迁,4,0,0,0,江苏省,江苏,99,0,1,0,
209,209,连云港,3,0,0,0,江苏省,江苏,99,0,1,0,
210,210,淮安,3,0,0,0,江苏省,江苏,99,0,1,0,
211,211,镇江,2,0,0,0,江苏省,江苏,99,0,1,0,
212,212,福州,24,0,0,0,福建省,福建,84,0,0,0,
213,213,莆田,14,0,0,0,福建省,福建,84,0,0,0,
214,214,泉州,13,0,0,0,福建省,福建,84,0,0,0,
215,215,三明,9,0,0,0,福建省,福建,84,0,0,0,
