,Unnamed: 0,city.cityName,city.confirmedCount,city.suspectedCount,city.curedCount,city.deadCount,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,comment
0,0,武汉,572,0,32,38,湖北省,湖北,761,0,32,40,
1,1,黄冈,64,0,0,0,湖北省,湖北,761,0,32,40,
2,2,黄石,31,0,0,1,湖北省,湖北,761,0,32,40,
3,3,孝感,26,0,0,0,湖北省,湖北,761,0,32,40,
4,4,荆门,21,0,0,0,湖北省,湖北,761,0,32,40,
5,5,恩施州,11,0,0,0,湖北省,湖北,761,0,32,40,
6,6,荆州,10,0,0,0,湖北省,湖北,761,0,32,40,
7,7,仙桃,10,0,0,0,湖北省,湖北,761,0,32,40,
8,8,十堰,5,0,0,0,湖北省,湖北,761,0,32,40,
9,9,随州,5,0,0,0,湖北省,湖北,761,0,32,40,
10,10,天门,3,0,0,0,湖北省,湖北,761,0,32,40,
11,11,宜昌,1,0,0,1,湖北省,湖北,761,0,32,40,
12,12,鄂州,1,0,0,0,湖北省,湖北,761,0,32,40,
13,13,襄阳,1,0,0,0,湖北省,湖北,761,0,32,40,
14,14,深圳,20,0,2,0,广东省,广东,78,0,2,0,
15,15,广州,14,0,0,0,广东省,广东,78,0,2,0,
16,16,珠海,10,0,0,0,广东省,广东,78,0,2,0,
17,17,佛山,9,0,0,0,广东省,广东,78,0,2,0,
18,18,惠州,7,0,0,0,广东省,广东,78,0,2,0,
19,19,阳江,5,0,0,0,广东省,广东,78,0,2,0,
20,20,韶关,3,0,0,0,广东省,广东,78,0,2,0,
21,21,湛江,2,0,0,0,广东省,广东,78,0,2,0,
22,22,中山,2,0,0,0,广东省,广东,78,0,2,0,
23,23,肇庆,2,0,0,0,广东省,广东,78,0,2,0,
24,24,清远,2,0,0,0,广东省,广东,78,0,2,0,
25,25,东莞,1,0,0,0,广东省,广东,78,0,2,0,
26,26,汕头,1,0,0,0,广东省,广东,78,0,2,0,
27,27,台州,20,0,0,0,浙江省,浙江,62,0,1,0,
28,28,杭州,12,0,0,0,浙江省,浙江,62,0,1,0,
29,29,温州,10,0,1,0,浙江省,浙江,62,0,1,0,
30,30,宁波,6,0,0,0,浙江省,浙江,62,0,1,0,
31,31,绍兴,4,0,0,0,浙江省,浙江,62,0,1,0,
32,32,嘉兴,4,0,0,0,浙江省,浙江,62,0,1,0,
33,33,舟山,2,0,0,0,浙江省,浙江,62,0,1,0,
34,34,金华,2,0,0,0,浙江省,浙江,62,0,1,0,
35,35,衢州,2,0,0,0,浙江省,浙江,62,0,1,0,
36,36,万州区,10,0,0,0,重庆市,重庆,57,0,0,0,
37,37,长寿区,5,0,0,0,重庆市,重庆,57,0,0,0,
38,38,开州区,4,0,0,0,重庆市,重庆,57,0,0,0,
39,39,巫山县,3,0,0,0,重庆市,重庆,57,0,0,0,
40,40,永川区,3,0,0,0,重庆市,重庆,57,0,0,0,
41,41,九龙坡区,3,0,0,0,重庆市,重庆,57,0,0,0,
