,Unnamed: 0,city.cityName,city.confirmedCount,city.suspectedCount,city.curedCount,city.deadCount,provinceName,provinceShortName,confirmedCount,suspectedCount,curedCount,deadCount,comment
0,0,武汉,2639,0,75,159,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
1,1,黄冈,573,0,6,12,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
2,2,孝感,541,0,2,9,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
3,3,襄阳,286,0,0,0,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
4,4,随州,228,0,0,0,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
5,5,荆门,227,0,0,5,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
6,6,荆州,221,0,1,3,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
7,7,鄂州,189,0,0,6,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
8,8,黄石,168,0,0,1,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
9,9,宜昌,167,0,0,1,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
10,10,咸宁,166,0,0,0,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
11,11,十堰,150,0,0,0,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
12,12,仙桃,90,0,0,1,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
13,13,恩施州,75,0,0,0,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
14,14,天门,67,0,0,6,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
15,15,潜江,12,0,0,1,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
16,16,神农架林区,7,0,2,0,湖北省,湖北,5806,0,116,204,待明确地区：治愈 30
17,17,温州,227,0,7,0,浙江省,浙江,537,0,9,0,
18,18,杭州,85,0,0,0,浙江省,浙江,537,0,9,0,
19,19,台州,81,0,0,0,浙江省,浙江,537,0,9,0,
20,20,宁波,46,0,0,0,浙江省,浙江,537,0,9,0,
21,21,金华,27,0,0,0,浙江省,浙江,537,0,9,0,
22,22,绍兴,23,0,0,0,浙江省,浙江,537,0,9,0,
23,23,嘉兴,16,0,0,0,浙江省,浙江,537,0,9,0,
24,24,衢州,12,0,0,0,浙江省,浙江,537,0,9,0,
25,25,舟山,7,0,1,0,浙江省,浙江,537,0,9,0,
26,26,丽水,7,0,1,0,浙江省,浙江,537,0,9,0,
27,27,湖州,6,0,0,0,浙江省,浙江,537,0,9,0,
28,28,深圳,110,0,4,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
29,29,广州,106,0,3,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
30,30,佛山,32,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
31,31,珠海,26,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
32,32,中山,18,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
33,33,惠州,17,0,1,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
34,34,东莞,16,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
35,35,汕头,12,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
36,36,湛江,11,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
37,37,阳江,10,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
38,38,肇庆,6,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
39,39,清远,6,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
40,40,揭阳,6,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
41,41,梅州,5,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
42,42,韶关,4,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
43,43,汕尾,3,0,0,0,广东省,广东,393,0,9,0,待明确地区治愈 1 例
